name,address,price,latitude,longitude
Mobil,"10570 Riverside Dr, North Hollywood, CA",$4.99,34.15213884396,-118.360851824207
Burbank Fuel,"1951 N Hollywood Way, Burbank, CA",$3.99,34.184330371132,-118.349191890743
Chevron,"11000 Victory Blvd, North Hollywood, CA",,34.186626840725,-118.370383544223
76,"10984 Riverside Dr, North Hollywood, CA",,34.15228399737,-118.369912029235
Shell,"2500 W Magnolia Blvd, Burbank, CA",$4.69,34.171876659509,-118.334784867418
Chevron,"10960 Moorpark St, North Hollywood, CA",$4.39,34.150311844644,-118.369322260799
76,"200 N Hollywood Way, Burbank, CA",$4.89,34.154196519026,-118.340287447518
Sinclair,"3701 W Riverside Dr, Burbank, CA",$4.39,34.15299299648,-118.339843843533
Mobil,"11680 Burbank Blvd, North Hollywood, CA",$4.59,34.172091843273,-118.387133529152
Shell,"4388 Tujunga Ave, Studio City, CA",,34.150062785521,-118.378911287482
Chevron,"2950 Westminster Ave, Seal Beach, CA",$4.69,33.759434772004,-118.080086293299
Chevron,"4000 Lampson Ave, Seal Beach, CA",$4.79,33.776300095578,-118.063299240678
Mobil,"12240 Seal Beach Blvd, Seal Beach, CA",$4.97,33.784584130237,-118.071800926604
76,"12071 Seal Beach Blvd, Seal Beach, CA",,33.785807660806,-118.072082613414
Chevron,"3801 Portola Pkwy, Irvine, CA",$4.89,33.740234411253,-117.765992225922
Chevron,"3921 Irvine Blvd, Irvine, CA",$4.89,33.722176953582,-117.771927087914
ARCO,"6501 Quail Hill Pkwy, Irvine, CA",,33.652889222804,-117.777229985071
Chevron,"14446 Culver Dr, Irvine, CA",$4.59,33.705317541806,-117.786760113491
Chevron,"5425 Alton Pkwy, Irvine, CA",$4.89,33.670502388258,-117.789478919334
Chevron,"15425 Culver Dr, Irvine, CA",$4.89,33.694398761371,-117.798071270612
Chevron,"6972 Warner Ave, Huntington Beach, CA",$4.69,33.715422872626,-118.007117241933
76,"16971 Goldenwest St, Huntington Beach, CA",$4.04,33.715937912616,-118.006663294318
ARCO,"16501 Goldenwest St, Huntington Beach, CA",$3.89,33.722774962788,-118.006759655766
ARCO,"5981 Warner Ave, Huntington Beach, CA",$3.79,33.715579544507,-118.024223863676
Mobil,"5972 Warner Ave, Huntington Beach, CA",,33.715302147799,-118.024384593588
G&M,"15971 Goldenwest St, Huntington Beach, CA",$3.99,33.730359738163,-118.006859771749
Shell,"6502 Edinger Ave, Huntington Beach, CA",$4.69,33.729975871443,-118.01533258898
G&M,"16990 Beach Blvd, Huntington Beach, CA",$3.99,33.715851427678,-117.988931631892
Chevron,"17472 Beach Blvd, Huntington Beach, CA",$4.69,33.708762323643,-117.989001007376
7-Eleven,"16171 Beach Blvd, Huntington Beach, CA",$3.99,33.727574070385,-117.989445528707
Mobil,"16001 Beach Blvd, Huntington Beach, CA",$4.39,33.730074870005,-117.989485274474
ARCO,"8520 Warner Ave, Fountain Valley, CA",$4.09,33.715611871124,-117.980267418769
Speedway Express,"15501 Edwards St, Huntington Beach, CA",,33.737228651937,-118.015678277861
Chevron,"18501 Beach Blvd, Huntington Beach, CA",$4.69,33.693840130304,-117.989039550387
Chevron,"15501 Beach Blvd, Westminster, CA",$4.69,33.737264971772,-117.989583183318
Mobil,"15001 Goldenwest St, Huntington Beach, CA",$4.79,33.74438272695,-118.007047356588
Chevron,"8980 Warner Ave, Fountain Valley, CA",$4.69,33.715688819206,-117.972375986629
